_active,_id,_introduced,_official_title,_passed_house,_passed_senate,_session,_short_title,_top_subject,_type
False,hr2603-116,2019-01-08 00:05:00,"To amend the Small Business Act to ensure that the Commonwealth of the Northern Mariana Islands is eligible for certain Small Business Administration programs, and for other purposes.",False,False,116,Northern Mariana Islands Small Business Act,Commerce,hr
False,hr2604-116,2019-01-08 00:05:00,To amend the Internal Revenue Code of 1986 to eliminate the marriage penalty in the income tax rate brackets.,False,False,116,Make Marriage Great Again Act of 2019,Taxation,hr
False,hr2605-116,2019-01-08 00:05:00,"To direct the Administrator of the Environmental Protection Agency to issue a final rule adding as a class all perfluoroalkyl and polyfluoroalkyl substances with at least one fully fluorinated carbon atom to the list of hazardous air pollutants under section 112(b) of the Clean Air Act (42 U.S.C. 7412(b)), and for other purposes.",False,False,116,"Prevent Release Of Toxics Emissions, Contamination, and Transfer Act of 2019",Environmental Protection,hr
False,hr2606-116,2019-01-08 00:05:00,To make demonstration grants to eligible local educational agencies or consortia of eligible local educational agencies for the purpose of increasing the numbers of school nurses in public elementary schools and secondary schools.,False,False,116,NURSE Act,Education,hr
True,hr2607-116,2019-01-08 00:05:00,"To expedite under the National Environmental Policy Act of 1969 and improve forest management activities on National Forest System lands, on public lands under the jurisdiction of the Bureau of Land Management, and on Tribal lands to return resilience to overgrown, fire-prone forested lands, and for other purposes.",False,False,116,Resilient Federal Forests Act of 2019,Public Lands and Natural Resources,hr
False,hr2608-116,2019-01-09 00:05:00,"To require the testing of perfluoroalkyl and polyfluoroalkyl substances under the Toxic Substances Control Act, and for other purposes.",False,False,116,PFAS Testing Act of 2019,Environmental Protection,hr
True,hr2609-116,2019-01-09 00:05:00,"To amend the Homeland Security Act of 2002 to establish the Acquisition Review Board in the Department of Homeland Security, and for other purposes.",True,False,116,DHS Acquisition Review Board Act of 2019,Emergency Management,hr
False,hr2610-116,2019-01-09 00:05:00,To establish a Senior Scams Prevention Advisory Council to collect and disseminate model educational materials useful in identifying and preventing scams that affect seniors.,False,False,116,Stop Senior Scams Act,Commerce,hr
True,hr2611-116,2019-01-09 00:05:00,"To support the establishment and improvement of communications sites on or adjacent to Federal lands under the jurisdiction of the Secretary of the Interior or the Secretary of Agriculture through the retention and use of rental fees associated with such sites, and for other purposes.",False,False,116,Public Lands Telecommunications Act,Public Lands and Natural Resources,hr
False,hr2612-116,2019-01-09 00:05:00,"To require the disclosure of pension records under the Freedom of Information Act, and for other purposes.",False,False,116,Federal Employee Disclosure (FED) Transparency Act,Government Operations and Politics,hr
True,hr2613-116,2019-01-09 00:05:00,"To require the Director of the Financial Crimes Enforcement Network to carry out a study on the use of emerging technologies within the Financial Crimes Enforcement Network, and for other purposes.",True,False,116,Advancing Innovation to Assist Law Enforcement Act,Finance and Financial Sector,hr
False,hr2614-116,2019-01-09 00:05:00,To amend the Internal Revenue Code of 1986 to increase the dollar limitation on employer-provided group term life insurance that can be excluded from the gross income of the employee.,False,False,116,Group Term Life Insurance Increase Act,Taxation,hr
True,hr2615-116,2019-01-09 00:05:00,"To support the people of Central America and strengthen United States national security by addressing the root causes of migration from El Salvador, Guatemala, and Honduras.",True,False,116,United States-Northern Triangle Enhanced Engagement Act,International Affairs,hr
False,hr2616-116,2019-01-09 00:05:00,"To amend title 23, United States Code, to establish a grant program for the installation of electric vehicle charging infrastructure and hydrogen fueling infrastructure along the National Highway System, and for other purposes.",False,False,116,Clean Corridors Act of 2019,Transportation and Public Works,hr
True,hr2617-116,2019-01-09 00:05:00,"To amend title 10, United States Code, to enhance recordkeeping with respect to exposure by members of the Armed Forces to certain occupational and environmental hazards while deployed overseas, and for other purposes.",False,False,116,OATH Act,Armed Forces and National Security,hr
True,hr2618-116,2019-01-09 00:05:00,"To amend the Servicemembers Civil Relief Act to provide a guarantee of residency for registration of businesses of spouses of members of the uniformed services, to improve occupational license portability for military spouses through interstate compacts, and for other purposes.",False,False,116,"To amend the Servicemembers Civil Relief Act to provide a guarantee of residency for registration of businesses of spouses of members of the uniformed services, to improve occupational license portability for military spouses through interstate compacts,",Armed Forces and National Security,hr
False,hr2619-116,2019-01-09 00:05:00,"To amend title 11, United States Code, to include certain pension as administrative expenses in bankruptcy, and for other purposes.",False,False,116,Prioritizing Our Workers Act,Finance and Financial Sector,hr
False,hr2620-116,2019-01-09 00:05:00,"To advance treatment and cures for blindness and other retinal conditions and to promote competitiveness in the United States through a pilot program to increase funding for translational research, and for other purposes.",False,False,116,Faster Treatments and Cures for Eye Diseases Act,Health,hr
True,hr2621-116,2019-01-09 00:05:00,"To direct the Under Secretary for Intelligence and Analysis of the Department of Homeland Security to develop and disseminate a threat assessment regarding terrorist use of ghost guns, and for other purposes.",False,False,116,Homeland Security Assessment of Terrorists Use of Ghost Guns Act,Emergency Management,hr
False,hr2622-116,2019-01-09 00:05:00,To amend the Internal Revenue Code of 1986 to extend the credit for production of refined coal.,False,False,116,To amend the Internal Revenue Code of 1986 to extend the credit for production of refined coal.,Taxation,hr
False,hr2623-116,2019-01-09 00:05:00,"To require search and rescue dogs to be treated in the same manner as seeing-eye dogs in the event of a federally declared disaster, and for other purposes.",False,False,116,Search and Rescue Dog Protection Act,Emergency Management,hr
False,hr2624-116,2019-01-09 00:05:00,To amend the Internal Revenue Code of 1986 to increase the limitation on the deduction for State and local taxes.,False,False,116,SALT Relief and Marriage Penalty Elimination Act of 2019,Taxation,hr
False,hr2625-116,2019-01-09 00:05:00,To amend section 28 of the Food and Nutrition Act of 2008 to include eating disorders prevention within the nutrition education and obesity prevention grant program and the local wellness program; and for other purposes.,False,False,116,LIVE Well Act,Health,hr
